Article_ID,Error
28094825,"The MW API does not have any info related to the rev-id provided as input (28094825), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
121428,"The MW API does not have any info related to the rev-id provided as input (121428), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
124615,"The MW API does not have any info related to the rev-id provided as input (124615), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
121302,"The MW API does not have any info related to the rev-id provided as input (121302), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
150616,"The MW API does not have any info related to the rev-id provided as input (150616), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
120620,"The MW API does not have any info related to the rev-id provided as input (120620), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
120862,"The MW API does not have any info related to the rev-id provided as input (120862), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
121570,"The MW API does not have any info related to the rev-id provided as input (121570), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
121555,"The MW API does not have any info related to the rev-id provided as input (121555), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
120101,"The MW API does not have any info related to the rev-id provided as input (120101), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
120537,"The MW API does not have any info related to the rev-id provided as input (120537), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
119370,"The MW API does not have any info related to the rev-id provided as input (119370), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
119897,"The MW API does not have any info related to the rev-id provided as input (119897), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
120586,"The MW API does not have any info related to the rev-id provided as input (120586), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
120212,"The MW API does not have any info related to the rev-id provided as input (120212), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
120500,"The MW API does not have any info related to the rev-id provided as input (120500), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
